Organization	Launcher	Founded	Status	First launch	Launches	Cost	Performance	Launch type	Funding	Country	Image
Agnikul	AgniBaan	2017	In development	-	0	-	100 kg	Land	-	India	
MT Aerospace	MTA, WARR, Daneo	2005	In development	-	0	-	-	Plane	-	Germany	
Pythom	Pythom	2017	In development	-	0	-	70 kg	Land	-	Sweden	
Rose Galactic	Anthium Orbital Cannon	2017	In development	-	0	-	-	Cannon	-	US	
Advanced Rockets Coporation	DELV	2017	In development	-	0	-	-	Land	-	US	
HyImpulse	-	2018	In development	-	0	-	400 kg	-	-	Germany	
Pangea Aerospace	Meso	2018	In development	-	0	-	150 kg	Land	-	Spain	
Spacedarts	-	2017	In development	-	0	$0.04M	10 kg	Land	-	Russia	
Frontier Astronautics	-	2008	In development	-	0	-	-	-	-	US	
Wagner Industries	Konshu	2015	In development	-	0	-	-	-	-	US	
Interorbital Systems	NEPTUNE N5	1996	In development	-	0	$0.5M	40 kg	Land	-	US	
Leaf Space	Primo	2014	Concept	Never?	0	-	-	Land	-	Italy	
ARCA Space	Haas 2C	1999	Cancelled	Never?	0	-	400 kg	Land	-	US/Romania	
Open Space Orbital	Neutrino I	2014	Cancelled	Never?	0	-	50 kg	Land	-	Canada	
Swiss Space Systems	SOAR	2013	Cancelled	Never?	0	$10M	250 kg	Plane	-	Switzerland	
